stride,time_ms,bandwidth_MB_s,sum
1,66.8790,11961.90,49500000.000000
2,31.8520,12558.08,24500000.000000
3,21.8170,12223.13,16500330.000000
4,15.9650,12527.40,12000000.000000
5,13.1170,12197.91,9500000.000000
6,11.2350,11867.91,8166660.000000
7,9.8350,11620.54,7071850.000000
8,8.7340,11449.51,6000000.000000
9,8.0660,11021.08,5500440.000000
10,7.6210,10497.31,4500000.000000
11,7.1070,10233.29,4500450.000000
12,6.6720,9992.81,4000320.000000
13,6.4740,9506.33,3808140.000000
14,6.2140,9196.01,3500420.000000
15,6.3970,8337.66,3166650.000000
16,8.4300,5931.20,3000000.000000
17,4.9290,9548.39,2911510.000000
18,5.2580,8453.40,2722200.000000
19,3.8810,10850.81,2606040.000000
20,3.5910,11138.96,2000000.000000
